STATION,YEAR,MONTH,PRECIPITATION
130,1952,APR,120.0
130,1952,AUG,185.0
130,1952,DEC,23.0
130,1952,FEB,5.0
130,1952,JAN,47.0
130,1952,JUL,194.0
130,1952,JUN,81.0
130,1952,MAR,279.0
130,1952,MAY,0.0
130,1952,NOV,227.0
130,1952,OCT,0.0
130,1952,SEP,120.0
130,1953,APR,35.0
130,1953,AUG,186.0
130,1953,DEC,3.0
130,1953,FEB,146.0
130,1953,JAN,109.76190476190476
130,1953,JUL,297.0
130,1953,JUN,66.0
130,1953,MAR,52.0
130,1953,MAY,11.0
130,1953,NOV,9.0
130,1953,OCT,2.0
130,1953,SEP,0.0
130,1954,APR,0.0
130,1954,AUG,379.0
130,1954,DEC,23.0
130,1954,FEB,43.0
130,1954,JAN,95.0
130,1954,JUL,415.0
130,1954,JUN,73.0
130,1954,MAR,167.0
130,1954,MAY,28.0
130,1954,NOV,0.0
130,1954,OCT,36.0
130,1954,SEP,106.0
130,1955,APR,39.285714285714285
130,1955,AUG,654.0
130,1955,DEC,26.0
130,1955,FEB,38.0
130,1955,JAN,171.0
130,1955,JUL,473.0
130,1955,JUN,38.23809523809524
130,1955,MAR,82.16279069767442
130,1955,MAY,13.375
130,1955,NOV,0.0
130,1955,OCT,69.0
130,1955,SEP,15.0
130,1956,APR,34.0
130,1956,AUG,81.0
130,1956,DEC,40.0
130,1956,FEB,37.0
130,1956,JAN,207.0
130,1956,JUL,199.0
130,1956,JUN,15.0
130,1956,MAR,0.0
130,1956,MAY,0.0
130,1956,NOV,35.0
130,1956,OCT,98.97674418604652
130,1956,SEP,23.0
130,1957,APR,35.0
130,1957,AUG,354.0
130,1957,DEC,46.0
130,1957,FEB,84.95348837209302
130,1957,JAN,212.0
130,1957,JUL,280.0
130,1957,JUN,25.0
130,1957,MAR,86.0
130,1957,MAY,13.375
130,1957,NOV,39.0
130,1957,OCT,191.0
130,1957,SEP,4.0
130,1958,APR,81.0
130,1958,AUG,438.0
130,1958,DEC,0.0
130,1958,FEB,134.0
130,1958,JAN,0.0
130,1958,JUL,435.0
130,1958,JUN,22.0
130,1958,MAR,291.0
130,1958,MAY,13.375
130,1958,NOV,141.0
130,1958,OCT,26.0
130,1958,SEP,64.0
130,1959,APR,39.285714285714285
130,1959,AUG,524.0
130,1959,DEC,185.0
130,1959,FEB,84.0
130,1959,JAN,109.76190476190476
130,1959,JUL,358.0
130,1959,JUN,59.0
130,1959,MAR,0.0
130,1959,MAY,0.0
130,1959,NOV,64.0
130,1959,OCT,152.0
130,1959,SEP,13.0
130,1960,APR,0.0
130,1960,AUG,153.0
130,1960,DEC,92.0
130,1960,FEB,78.0
130,1960,JAN,269.0
130,1960,JUL,241.0
130,1960,JUN,40.0
130,1960,MAR,30.0
130,1960,MAY,0.0
130,1960,NOV,7.0
130,1960,OCT,134.0
130,1960,SEP,132.0
130,1961,APR,0.0
130,1961,AUG,526.0
130,1961,DEC,175.0
130,1961,FEB,16.0
130,1961,JAN,84.0
130,1961,JUL,206.0
130,1961,JUN,79.0
130,1961,MAR,27.0
130,1961,MAY,0.0
130,1961,NOV,35.0
130,1961,OCT,279.0
130,1961,SEP,214.0
130,1962,APR,2.0
130,1962,AUG,224.0
130,1962,DEC,185.0
130,1962,FEB,67.0
130,1962,JAN,170.0
130,1962,JUL,240.0
130,1962,JUN,15.0
130,1962,MAR,69.0
130,1962,MAY,0.0
130,1962,NOV,32.0
130,1962,OCT,0.0
130,1962,SEP,150.0
130,1963,APR,55.0
130,1963,AUG,359.0
130,1963,DEC,74.0
130,1963,FEB,77.0
130,1963,JAN,58.0
130,1963,JUL,306.0
130,1963,JUN,0.0
130,1963,MAR,48.0
130,1963,MAY,0.0
130,1963,NOV,300.0
130,1963,OCT,60.0
130,1963,SEP,145.0
130,1964,APR,60.0
130,1964,AUG,251.0
130,1964,DEC,72.0
130,1964,FEB,16.0
130,1964,JAN,2.0
130,1964,JUL,491.0
130,1964,JUN,44.0
130,1964,MAR,98.0
130,1964,MAY,0.0
130,1964,NOV,87.0
130,1964,OCT,69.0
130,1964,SEP,518.0
130,1965,APR,66.0
130,1965,AUG,241.0
130,1965,DEC,505.0
130,1965,FEB,104.0
130,1965,JAN,80.0
130,1965,JUL,334.0
130,1965,JUN,19.0
130,1965,MAR,16.0
130,1965,MAY,20.0
130,1965,NOV,80.0
130,1965,OCT,0.0
130,1965,SEP,69.0
130,1966,APR,104.0
130,1966,AUG,256.0
130,1966,DEC,29.0
130,1966,FEB,183.0
130,1966,JAN,252.0
130,1966,JUL,344.0
130,1966,JUN,26.0
130,1966,MAR,19.0
130,1966,MAY,18.0
130,1966,NOV,60.0
130,1966,OCT,21.0
130,1966,SEP,425.0
130,1967,APR,57.0
130,1967,AUG,206.0
130,1967,DEC,497.0
130,1967,FEB,17.0
130,1967,JAN,6.0
130,1967,JUL,383.0
130,1967,JUN,90.0
130,1967,MAR,51.0
130,1967,MAY,26.0
130,1967,NOV,145.0
130,1967,OCT,119.0
130,1967,SEP,251.0
130,1968,APR,24.0
130,1968,AUG,234.0
130,1968,DEC,96.0
130,1968,FEB,120.0
130,1968,JAN,55.0
130,1968,JUL,435.0
130,1968,JUN,0.0
130,1968,MAR,157.0
130,1968,MAY,4.0
130,1968,NOV,114.0
130,1968,OCT,15.0
130,1968,SEP,6.0
130,1969,APR,0.0
130,1969,AUG,527.0
130,1969,DEC,46.0
130,1969,FEB,92.0
130,1969,JAN,44.0
130,1969,JUL,461.0
130,1969,JUN,3.0
130,1969,MAR,43.0
130,1969,MAY,23.0
130,1969,NOV,69.0
130,1969,OCT,1.0
130,1969,SEP,76.0
130,1970,APR,15.0
130,1970,AUG,402.0
130,1970,DEC,53.0
130,1970,FEB,50.0
130,1970,JAN,0.0
130,1970,JUL,452.0
130,1970,JUN,64.0
130,1970,MAR,174.0
130,1970,MAY,5.0
130,1970,NOV,0.0
130,1970,OCT,29.0
130,1970,SEP,220.0
130,1971,APR,77.0
130,1971,AUG,443.0
130,1971,DEC,320.0
130,1971,FEB,109.0
130,1971,JAN,0.0
130,1971,JUL,242.0
130,1971,JUN,9.0
130,1971,MAR,4.0
130,1971,MAY,3.0
130,1971,NOV,109.0
130,1971,OCT,241.0
130,1971,SEP,281.0
130,1972,APR,0.0
130,1972,AUG,147.0
130,1972,DEC,73.0
130,1972,FEB,0.0
130,1972,JAN,0.0
130,1972,JUL,286.0
130,1972,JUN,131.0
130,1972,MAR,7.0
130,1972,MAY,21.0
130,1972,NOV,139.0
130,1972,OCT,382.0
130,1972,SEP,79.0
130,1973,APR,8.0
130,1973,AUG,84.0
130,1973,DEC,0.0
130,1973,FEB,105.0
130,1973,JAN,72.0
130,1973,JUL,330.0
130,1973,JUN,64.0
130,1973,MAR,361.0
130,1973,MAY,0.0
130,1973,NOV,53.0
130,1973,OCT,0.0
130,1973,SEP,10.0
130,1974,APR,0.0
130,1974,AUG,165.0
130,1974,DEC,30.0
130,1974,FEB,0.0
130,1974,JAN,174.0
130,1974,JUL,890.0
130,1974,JUN,5.0
130,1974,MAR,53.0
130,1974,MAY,2.0
130,1974,NOV,44.0
130,1974,OCT,261.0
130,1974,SEP,165.0
130,1975,APR,83.0
130,1975,AUG,240.0
130,1975,DEC,105.0
130,1975,FEB,15.0
130,1975,JAN,67.0
130,1975,JUL,340.0
130,1975,JUN,0.0
130,1975,MAR,142.0
130,1975,MAY,2.0
130,1975,NOV,97.0
130,1975,OCT,0.0
130,1975,SEP,174.0
130,1976,APR,126.0
130,1976,AUG,140.0
130,1976,DEC,43.0
130,1976,FEB,84.0
130,1976,JAN,11.0
130,1976,JUL,391.0
130,1976,JUN,8.0
130,1976,MAR,57.0
130,1976,MAY,30.0
130,1976,NOV,74.0
130,1976,OCT,63.0
130,1976,SEP,203.0
130,1977,APR,40.0
130,1977,AUG,305.0
130,1977,DEC,128.0
130,1977,FEB,14.0
130,1977,JAN,308.0
130,1977,JUL,235.0
130,1977,JUN,40.0
130,1977,MAR,98.0
130,1977,MAY,5.0
130,1977,NOV,22.0
130,1977,OCT,300.0
130,1977,SEP,85.0
130,1978,APR,15.0
130,1978,AUG,120.0
130,1978,DEC,371.0
130,1978,FEB,220.0
130,1978,JAN,285.0
130,1978,JUL,310.0
130,1978,JUN,5.0
130,1978,MAR,150.0
130,1978,MAY,60.0
130,1978,NOV,170.0
130,1978,OCT,410.0
130,1978,SEP,75.0
130,1979,APR,0.0
130,1979,AUG,538.0
130,1979,DEC,28.0
130,1979,FEB,50.0
