STATION,YEAR,PRECIPITATION
DESST,1994,126.0
DESST,1995,76.5
DESST,1996,89.08333333333333
DESST,1997,108.58333333333333
DESST,1998,127.91666666666667
DESST,1999,85.5
DESST,2000,142.25
DESST,2001,104.33333333333333
DESST,2002,84.91666666666667
DESST,2003,73.83333333333333
DESST,2004,116.41666666666667
DESST,2005,90.83333333333333
DESST,2006,89.08333333333333
DESST,2007,71.41666666666667
DESST,2008,127.66666666666667
DESST,2009,83.66666666666667
DESST,2010,92.08333333333333
DESST,2011,108.25
DESST,2012,79.16666666666667
DESST,2013,63.0
DESST,2014,109.0
DESST,2015,115.18576388888887
DESST,2016,128.08333333333334
DESST,2017,57.5
DESST,2018,154.16666666666666
DESST,2019,111.75
DESST,2020,40.5
DESST,2021,147.0
DESST,2022,96.16666666666667
DESST,2023,90.08333333333333
DESST,2024,126.02114727246534
ERIOP,1922,102.32950080150526
ERIOP,1923,123.58333333333333
ERIOP,1924,94.41666666666667
ERIOP,1925,94.08333333333333
ERIOP,1926,130.16666666666666
ERIOP,1927,116.41666666666667
ERIOP,1928,81.41666666666667
ERIOP,1929,112.16666666666667
ERIOP,1930,153.25
ERIOP,1931,192.25
ERIOP,1932,129.41666666666666
ERIOP,1933,77.58333333333333
ERIOP,1934,90.33333333333333
ERIOP,1935,150.41666666666666
ERIOP,1936,106.66666666666667
ERIOP,1937,124.41666666666667
ERIOP,1938,78.41666666666667
ERIOP,1939,98.16666666666667
ERIOP,1940,139.33333333333334
ERIOP,1941,134.83333333333334
ERIOP,1942,88.30823514973001
ERIOP,1943,110.0
ERIOP,1944,114.58333333333333
ERIOP,1945,98.8175
ERIOP,1946,141.58333333333334
ERIOP,1947,68.08333333333333
ERIOP,1948,89.58333333333333
ERIOP,1949,115.85119047619048
ERIOP,1950,74.66666666666667
ERIOP,1951,143.91666666666666
ERIOP,1952,98.83333333333333
ERIOP,1953,71.3409090909091
ERIOP,1954,138.83333333333334
ERIOP,1955,111.64505333154818
ERIOP,1956,63.666666666666664
ERIOP,1957,114.20704467353953
ERIOP,1958,140.75
